"Facility Name","Type","County","Address","Website","Phone","Services","CCW Price","Basic Price","Lane Fee","Private Lesson","Confidence","Needs Verification","Source URL","Date Accessed","Notes"
"Field Sports Area","gun club","Hunterdon","Hunterdon, New Jersey","","","gun club","","","","","80","No","https://www.openstreetmap.org/way/231284290","6/18/2026","Auto-collected via OpenStreetMap Overpass — Hunterdon, New Jersey"
"Reloaderz NJ","gun club","Hunterdon","1813 NJ-23, Wayne, New Jersey, 07470","","","gun club","","","","","80","No","https://www.openstreetmap.org/way/239369244","6/18/2026","Auto-collected via OpenStreetMap Overpass — Hunterdon, New Jersey"
"Cherry Ridge Range","gun club","Hunterdon","Hunterdon, New Jersey","","","gun club","","","","","80","No","https://www.openstreetmap.org/way/398010531","6/18/2026","Auto-collected via OpenStreetMap Overpass — Hunterdon, New Jersey"
"Waldwick Pistol and Rifle Club","gun club","Hunterdon","Hunterdon, New Jersey","","","gun club","","","","","80","No","https://www.openstreetmap.org/way/678469319","6/18/2026","Auto-collected via OpenStreetMap Overpass — Hunterdon, New Jersey"
"Gun For Hire at The Woodland Park Range","gun club","Hunterdon","1267 McBride Avenue, Woodland Park, New Jersey, 07424","","","gun club","","","","","80","No","https://www.openstreetmap.org/way/717426685","6/18/2026","Auto-collected via OpenStreetMap Overpass — Hunterdon, New Jersey"
"Range 14","gun club","Hunterdon","Hunterdon, New Jersey","","","gun club","","","","","80","No","https://www.openstreetmap.org/way/757198275","6/18/2026","Auto-collected via OpenStreetMap Overpass — Hunterdon, New Jersey"
"We Shoot","gun club","Hunterdon","1955 Swarthmore Avenue, Lakewood Township, New Jersey, 6990","","","gun club","","","","","80","No","https://www.openstreetmap.org/way/888008707","6/18/2026","Auto-collected via OpenStreetMap Overpass — Hunterdon, New Jersey"
"Range","gun club","Hunterdon","Hunterdon, New Jersey","","","gun club","","","","","80","No","https://www.openstreetmap.org/way/1268791472","6/18/2026","Auto-collected via OpenStreetMap Overpass — Hunterdon, New Jersey"
"Mt. Royal Gun Club","gun club","Hunterdon","Hunterdon, New Jersey","","","gun club","","","","","80","No","https://www.openstreetmap.org/way/1286713327","6/18/2026","Auto-collected via OpenStreetMap Overpass — Hunterdon, New Jersey"
"Bullet Hole","gun club","Hunterdon","Hunterdon, New Jersey","","","gun club","","","","","80","No","https://www.openstreetmap.org/way/1319111167","6/18/2026","Auto-collected via OpenStreetMap Overpass — Hunterdon, New Jersey"
"Courses
                Browse training","gun club","Hunterdon","Hunterdon, New Jersey","","","gun club","","","","","55","Yes","https://www.tacticalcoursedirectory.com/courses","6/18/2026","Auto-collected via Tactical Course Directory — Hunterdon, New Jersey"
"Skip's Outdoors","retailer","Hunterdon","8 Risler Street, Stockton, New Jersey, 08559","","","retailer","","","","","80","No","https://www.openstreetmap.org/node/6357027613","6/18/2026","Auto-collected via OpenStreetMap Overpass — Hunterdon, New Jersey"
"Courses
                Browse training","retailer","Hunterdon","Hunterdon, New Jersey","","","retailer","","","","","55","Yes","https://www.tacticalcoursedirectory.com/courses","6/18/2026","Auto-collected via Tactical Course Directory — Hunterdon, New Jersey"
"Rifle and Shotgun Range","range","Mercer","Mercer, New Jersey","","","range","","","","","80","No","https://www.openstreetmap.org/way/295728777","6/18/2026","Auto-collected via OpenStreetMap Overpass — Mercer, New Jersey"
"Range in Mercer","range","Mercer","Mercer, New Jersey","","","range","","","","","80","No","https://www.openstreetmap.org/way/505100095","6/18/2026","Auto-collected via OpenStreetMap Overpass — Mercer, New Jersey"
"Trap House","range","Mercer","Mercer, New Jersey","","","range","","","","","80","No","https://www.openstreetmap.org/way/513482595","6/18/2026","Auto-collected via OpenStreetMap Overpass — Mercer, New Jersey"
"Rife Backstop","range","Mercer","Mercer, New Jersey","","","range","","","","","80","No","https://www.openstreetmap.org/way/513482596","6/18/2026","Auto-collected via OpenStreetMap Overpass — Mercer, New Jersey"
"Grove City Sportsmen Club","range","Mercer","97 Centertown Road, Grove City, New Jersey, 16127","","","range","","","","","80","No","https://www.openstreetmap.org/way/613051351","6/18/2026","Auto-collected via OpenStreetMap Overpass — Mercer, New Jersey"
"Courses
                Browse training","range","Mercer","Mercer, New Jersey","","","range","","","","","55","Yes","https://www.tacticalcoursedirectory.com/courses","6/18/2026","Auto-collected via Tactical Course Directory — Mercer, New Jersey"
"Courses
                Browse training","private instructor","Mercer","Mercer, New Jersey","","","private instructor","","","","","55","Yes","https://www.tacticalcoursedirectory.com/courses","6/18/2026","Auto-collected via Tactical Course Directory — Mercer, New Jersey"
"Rifle and Shotgun Range","gun club","Mercer","Mercer, New Jersey","","","gun club","","","","","80","No","https://www.openstreetmap.org/way/295728777","6/18/2026","Auto-collected via OpenStreetMap Overpass — Mercer, New Jersey"
"Gun club in Mercer","gun club","Mercer","Mercer, New Jersey","","","gun club","","","","","80","No","https://www.openstreetmap.org/way/505100095","6/18/2026","Auto-collected via OpenStreetMap Overpass — Mercer, New Jersey"
"Trap House","gun club","Mercer","Mercer, New Jersey","","","gun club","","","","","80","No","https://www.openstreetmap.org/way/513482595","6/18/2026","Auto-collected via OpenStreetMap Overpass — Mercer, New Jersey"
"Rife Backstop","gun club","Mercer","Mercer, New Jersey","","","gun club","","","","","80","No","https://www.openstreetmap.org/way/513482596","6/18/2026","Auto-collected via OpenStreetMap Overpass — Mercer, New Jersey"
"Grove City Sportsmen Club","gun club","Mercer","97 Centertown Road, Grove City, New Jersey, 16127","","","gun club","","","","","80","No","https://www.openstreetmap.org/way/613051351","6/18/2026","Auto-collected via OpenStreetMap Overpass — Mercer, New Jersey"
"Courses
                Browse training","gun club","Mercer","Mercer, New Jersey","","","gun club","","","","","55","Yes","https://www.tacticalcoursedirectory.com/courses","6/18/2026","Auto-collected via Tactical Course Directory — Mercer, New Jersey"
"Altra Firearms","retailer","Mercer","782 South Hazzard Road, Jackson Center, New Jersey, 16133","","","retailer","","","","","80","No","https://www.openstreetmap.org/node/4931374124","6/18/2026","Auto-collected via OpenStreetMap Overpass — Mercer, New Jersey"
"Kulak Arms","retailer","Mercer","415 Lawrence Road, Lawrence Township, New Jersey, 08648","","","retailer","","","","","80","No","https://www.openstreetmap.org/way/513409176","6/18/2026","Auto-collected via OpenStreetMap Overpass — Mercer, New Jersey"
"Griffin Arms","retailer","Mercer","Mercer, New Jersey","","","retailer","","","","","80","No","https://www.openstreetmap.org/way/733434559","6/18/2026","Auto-collected via OpenStreetMap Overpass — Mercer, New Jersey"
"The Gun Store","retailer","Mercer","Sharon-Mercer Road, Mercer, New Jersey, 16137","","","retailer","","","","","80","No","https://www.openstreetmap.org/way/953827019","6/18/2026","Auto-collected via OpenStreetMap Overpass — Mercer, New Jersey"
"Morris Muzzleloading & Sporting Goods","retailer","Mercer","Mercer, New Jersey","","","retailer","","","","","80","No","https://www.openstreetmap.org/way/973103462","6/18/2026","Auto-collected via OpenStreetMap Overpass — Mercer, New Jersey"
"Grand Lake Guns","retailer","Mercer","122 Hamilton Street, Celina, New Jersey, 45822","","","retailer","","","","","80","No","https://www.openstreetmap.org/way/1288212581","6/18/2026","Auto-collected via OpenStreetMap Overpass — Mercer, New Jersey"
"Courses
                Browse training","retailer","Mercer","Mercer, New Jersey","","","retailer","","","","","55","Yes","https://www.tacticalcoursedirectory.com/courses","6/18/2026","Auto-collected via Tactical Course Directory — Mercer, New Jersey"
"Tepee Archery & Supply","range","Middlesex","Middlesex, New Jersey","","","range","","","","","80","No","https://www.openstreetmap.org/node/2488917718","6/18/2026","Auto-collected via OpenStreetMap Overpass — Middlesex, New Jersey"
"Mass Firearms School Indoor Range","range","Middlesex","100 Kuniholm Drive, Holliston, New Jersey, 01746","","","range","","","","","80","No","https://www.openstreetmap.org/node/13418988917","6/18/2026","Auto-collected via OpenStreetMap Overpass — Middlesex, New Jersey"
"Hopkinton Sportsman Assoc.","range","Middlesex","Middlesex, New Jersey","","","range","","","","","80","No","https://www.openstreetmap.org/way/29762045","6/18/2026","Auto-collected via OpenStreetMap Overpass — Middlesex, New Jersey"
"Littleton Sportsman Club","range","Middlesex","Middlesex, New Jersey","","","range","","","","","80","No","https://www.openstreetmap.org/way/29777275","6/18/2026","Auto-collected via OpenStreetMap Overpass — Middlesex, New Jersey"
"Mystic Valley Gun Club","range","Middlesex","146 Canal Street, Malden, New Jersey, 02148","","","range","","","","","80","No","https://www.openstreetmap.org/way/29862386","6/18/2026","Auto-collected via OpenStreetMap Overpass — Middlesex, New Jersey"
"Skeet","range","Middlesex","Middlesex, New Jersey","","","range","","","","","80","No","https://www.openstreetmap.org/way/48761939","6/18/2026","Auto-collected via OpenStreetMap Overpass — Middlesex, New Jersey"
"Mass Firearms","range","Middlesex","100 Kuniholm Drive, Holliston, New Jersey, 01746","","","range","","","","","80","No","https://www.openstreetmap.org/way/213611251","6/18/2026","Auto-collected via OpenStreetMap Overpass — Middlesex, New Jersey"
"Range in Middlesex","range","Middlesex","Middlesex, New Jersey","","","range","","","","","80","No","https://www.openstreetmap.org/way/411098057","6/18/2026","Auto-collected via OpenStreetMap Overpass — Middlesex, New Jersey"
"Rifle Ranges","range","Middlesex","Middlesex, New Jersey","","","range","","","","","80","No","https://www.openstreetmap.org/way/412223153","6/18/2026","Auto-collected via OpenStreetMap Overpass — Middlesex, New Jersey"
"Trap Range","range","Middlesex","Middlesex, New Jersey","","","range","","","","","80","No","https://www.openstreetmap.org/way/412223154","6/18/2026","Auto-collected via OpenStreetMap Overpass — Middlesex, New Jersey"
"Tepee Archery & Supply","gun club","Middlesex","Middlesex, New Jersey","","","gun club","","","","","80","No","https://www.openstreetmap.org/node/2488917718","6/18/2026","Auto-collected via OpenStreetMap Overpass — Middlesex, New Jersey"
"Mass Firearms School Indoor Range","gun club","Middlesex","100 Kuniholm Drive, Holliston, New Jersey, 01746","","","gun club","","","","","80","No","https://www.openstreetmap.org/node/13418988917","6/18/2026","Auto-collected via OpenStreetMap Overpass — Middlesex, New Jersey"
"Hopkinton Sportsman Assoc.","gun club","Middlesex","Middlesex, New Jersey","","","gun club","","","","","80","No","https://www.openstreetmap.org/way/29762045","6/18/2026","Auto-collected via OpenStreetMap Overpass — Middlesex, New Jersey"
"Littleton Sportsman Club","gun club","Middlesex","Middlesex, New Jersey","","","gun club","","","","","80","No","https://www.openstreetmap.org/way/29777275","6/18/2026","Auto-collected via OpenStreetMap Overpass — Middlesex, New Jersey"
"Mystic Valley Gun Club","gun club","Middlesex","146 Canal Street, Malden, New Jersey, 02148","","","gun club","","","","","80","No","https://www.openstreetmap.org/way/29862386","6/18/2026","Auto-collected via OpenStreetMap Overpass — Middlesex, New Jersey"
"Skeet","gun club","Middlesex","Middlesex, New Jersey","","","gun club","","","","","80","No","https://www.openstreetmap.org/way/48761939","6/18/2026","Auto-collected via OpenStreetMap Overpass — Middlesex, New Jersey"
"Mass Firearms","gun club","Middlesex","100 Kuniholm Drive, Holliston, New Jersey, 01746","","","gun club","","","","","80","No","https://www.openstreetmap.org/way/213611251","6/18/2026","Auto-collected via OpenStreetMap Overpass — Middlesex, New Jersey"
"Gun club in Middlesex","gun club","Middlesex","Middlesex, New Jersey","","","gun club","","","","","80","No","https://www.openstreetmap.org/way/411098057","6/18/2026","Auto-collected via OpenStreetMap Overpass — Middlesex, New Jersey"
"Rifle Ranges","gun club","Middlesex","Middlesex, New Jersey","","","gun club","","","","","80","No","https://www.openstreetmap.org/way/412223153","6/18/2026","Auto-collected via OpenStreetMap Overpass — Middlesex, New Jersey"
"Trap Range","gun club","Middlesex","Middlesex, New Jersey","","","gun club","","","","","80","No","https://www.openstreetmap.org/way/412223154","6/18/2026","Auto-collected via OpenStreetMap Overpass — Middlesex, New Jersey"
"Mass Firearms Shop","retailer","Middlesex","100 Kuniholm Drive, Holliston, New Jersey, 01746","","","retailer","","","","","80","No","https://www.openstreetmap.org/node/13418993919","6/18/2026","Auto-collected via OpenStreetMap Overpass — Middlesex, New Jersey"
"Retailer in Middlesex","retailer","Middlesex","Middlesex, New Jersey","","","retailer","","","","","80","No","https://www.openstreetmap.org/way/1389951859","6/18/2026","Auto-collected via OpenStreetMap Overpass — Middlesex, New Jersey"
"Range in Monmouth","range","Monmouth","Monmouth, New Jersey","","","range","","","","","80","No","https://www.openstreetmap.org/way/1319720429","6/18/2026","Auto-collected via OpenStreetMap Overpass — Monmouth, New Jersey"
"Gun club in Monmouth","gun club","Monmouth","Monmouth, New Jersey","","","gun club","","","","","80","No","https://www.openstreetmap.org/way/1319720429","6/18/2026","Auto-collected via OpenStreetMap Overpass — Monmouth, New Jersey"
"Lou's Firearms","retailer","Monmouth","91 West Somerset Street, Raritan, New Jersey, 08869","","","retailer","","","","","80","No","https://www.openstreetmap.org/node/5683463110","6/18/2026","Auto-collected via OpenStreetMap Overpass — Monmouth, New Jersey"
"Skip's Outdoors","retailer","Monmouth","8 Risler Street, Stockton, New Jersey, 08559","","","retailer","","","","","80","No","https://www.openstreetmap.org/node/6357027613","6/18/2026","Auto-collected via OpenStreetMap Overpass — Monmouth, New Jersey"
"Tech Ops International","retailer","Monmouth","Phillipsburg, New Jersey, 08865","","","retailer","","","","","80","No","https://www.openstreetmap.org/node/7417322521","6/18/2026","Auto-collected via OpenStreetMap Overpass — Monmouth, New Jersey"
"Guns","retailer","Monmouth","Monmouth, New Jersey","","","retailer","","","","","80","No","https://www.openstreetmap.org/node/10998566198","6/18/2026","Auto-collected via OpenStreetMap Overpass — Monmouth, New Jersey"
"Mastodon Ammo & Camo","retailer","Monmouth","195 Highland Lakes Road, Highland Lakes, New Jersey, 07422","","","retailer","","","","","80","No","https://www.openstreetmap.org/node/11246320496","6/18/2026","Auto-collected via OpenStreetMap Overpass — Monmouth, New Jersey"
"Retailer in Monmouth","retailer","Monmouth","Monmouth, New Jersey","","","retailer","","","","","80","No","https://www.openstreetmap.org/node/11948606446","6/18/2026","Auto-collected via OpenStreetMap Overpass — Monmouth, New Jersey"
"Jersey Devil Firearms","retailer","Monmouth","1125 Atlantic Avenue, Atlantic City, New Jersey, 08401","","","retailer","","","","","80","No","https://www.openstreetmap.org/node/12675986312","6/18/2026","Auto-collected via OpenStreetMap Overpass — Monmouth, New Jersey"
"Twin Armory LLC","retailer","Monmouth","505 Saddle River Road, Saddle Brook, New Jersey, 07663","","","retailer","","","","","80","No","https://www.openstreetmap.org/node/12920009976","6/18/2026","Auto-collected via OpenStreetMap Overpass — Monmouth, New Jersey"
"G&S Hunters","retailer","Monmouth","Monmouth, New Jersey","","","retailer","","","","","80","No","https://www.openstreetmap.org/way/379425948","6/18/2026","Auto-collected via OpenStreetMap Overpass — Monmouth, New Jersey"
"Kulak Arms","retailer","Monmouth","415 Lawrence Road, Lawrence Township, New Jersey, 08648","","","retailer","","","","","80","No","https://www.openstreetmap.org/way/513409176","6/18/2026","Auto-collected via OpenStreetMap Overpass — Monmouth, New Jersey"
"Ottomanelli's Sporting Arms","retailer","Monmouth","143 Route 4 West, Paramus, New Jersey, 07652","","","retailer","","","","","80","No","https://www.openstreetmap.org/way/612802674","6/18/2026","Auto-collected via OpenStreetMap Overpass — Monmouth, New Jersey"
"Range in Morris","range","Morris","Morris, New Jersey","","","range","","","","","80","No","https://www.openstreetmap.org/way/1333615119","6/18/2026","Auto-collected via OpenStreetMap Overpass — Morris, New Jersey"
"Courses
                Browse training","range","Morris","Morris, New Jersey","","","range","","","","","55","Yes","https://www.tacticalcoursedirectory.com/courses","6/18/2026","Auto-collected via Tactical Course Directory — Morris, New Jersey"
"Courses
                Browse training","private instructor","Morris","Morris, New Jersey","","","private instructor","","","","","55","Yes","https://www.tacticalcoursedirectory.com/courses","6/18/2026","Auto-collected via Tactical Course Directory — Morris, New Jersey"
"Gun club in Morris","gun club","Morris","Morris, New Jersey","","","gun club","","","","","80","No","https://www.openstreetmap.org/way/1333615119","6/18/2026","Auto-collected via OpenStreetMap Overpass — Morris, New Jersey"
"Courses
                Browse training","gun club","Morris","Morris, New Jersey","","","gun club","","","","","55","Yes","https://www.tacticalcoursedirectory.com/courses","6/18/2026","Auto-collected via Tactical Course Directory — Morris, New Jersey"
"Courses
                Browse training","retailer","Morris","Morris, New Jersey","","","retailer","","","","","55","Yes","https://www.tacticalcoursedirectory.com/courses","6/18/2026","Auto-collected via Tactical Course Directory — Morris, New Jersey"
"Courses
                Browse training","private instructor","Northampton","Northampton, Pennsylvania","","","private instructor","","","","","55","Yes","https://www.tacticalcoursedirectory.com/courses","6/18/2026","Auto-collected via Tactical Course Directory — Northampton, Pennsylvania"
"Steel City Gun Club","gun club","Northampton","Northampton, Pennsylvania","","","gun club","","","","","80","No","https://www.openstreetmap.org/node/6903946194","6/18/2026","Auto-collected via OpenStreetMap Overpass — Northampton, Pennsylvania"
"Lower Nazareth Rod & Gun Club","gun club","Northampton","Georgetown Road, Northampton, Pennsylvania","","","gun club","","","","","80","No","https://www.openstreetmap.org/node/11512070072","6/18/2026","Auto-collected via OpenStreetMap Overpass — Northampton, Pennsylvania"
"The Heritage Guild","gun club","Northampton","Northampton, Pennsylvania","","","gun club","","","","","80","No","https://www.openstreetmap.org/way/320109402","6/18/2026","Auto-collected via OpenStreetMap Overpass — Northampton, Pennsylvania"
"Easton Fish and Game","gun club","Northampton","Northampton, Pennsylvania","","","gun club","","","","","80","No","https://www.openstreetmap.org/way/347272440","6/18/2026","Auto-collected via OpenStreetMap Overpass — Northampton, Pennsylvania"
"Hellertown Sportsmen's Association","gun club","Northampton","Northampton, Pennsylvania","","","gun club","","","","","80","No","https://www.openstreetmap.org/way/347289524","6/18/2026","Auto-collected via OpenStreetMap Overpass — Northampton, Pennsylvania"
"Gun club in Northampton","gun club","Northampton","Northampton, Pennsylvania","","","gun club","","","","","80","No","https://www.openstreetmap.org/way/737415823","6/18/2026","Auto-collected via OpenStreetMap Overpass — Northampton, Pennsylvania"
"Blue Ridge Rod & Gun Club","gun club","Northampton","4815 Maple Drive, Walnutport, Pennsylvania, 18088","","","gun club","","","","","80","No","https://www.openstreetmap.org/way/1239549403","6/18/2026","Auto-collected via OpenStreetMap Overpass — Northampton, Pennsylvania"
"Courses
                Browse training","gun club","Northampton","Northampton, Pennsylvania","","","gun club","","","","","55","Yes","https://www.tacticalcoursedirectory.com/courses","6/18/2026","Auto-collected via Tactical Course Directory — Northampton, Pennsylvania"
"C & D Guns, Coins & Antiques","retailer","Northampton","231 East Broad Street, Bethlehem, Pennsylvania, 18018","","","retailer","","","","","80","No","https://www.openstreetmap.org/node/6221940189","6/18/2026","Auto-collected via OpenStreetMap Overpass — Northampton, Pennsylvania"
"Pocono Slate Belt Shooting Association","retailer","Northampton","744 Lake Minsi Drive, Northampton, Pennsylvania","","","retailer","","","","","80","No","https://www.openstreetmap.org/node/8725546856","6/18/2026","Auto-collected via OpenStreetMap Overpass — Northampton, Pennsylvania"
"Tech Ops International Gun Shop","retailer","Northampton","Northampton, Pennsylvania","","","retailer","","","","","80","No","https://www.openstreetmap.org/node/10616780374","6/18/2026","Auto-collected via OpenStreetMap Overpass — Northampton, Pennsylvania"
"NJT Arms","retailer","Northampton","Northampton, Pennsylvania","","","retailer","","","","","80","No","https://www.openstreetmap.org/node/13111143701","6/18/2026","Auto-collected via OpenStreetMap Overpass — Northampton, Pennsylvania"
"Locked and Loaded Sporting Goods","retailer","Northampton","201 West Main Street, Conway, Pennsylvania, 27820","","","retailer","","","","","80","No","https://www.openstreetmap.org/way/1256543266","6/18/2026","Auto-collected via OpenStreetMap Overpass — Northampton, Pennsylvania"
"Northampton Firearms","retailer","Northampton","21230 North Bayside Road, Cheriton, Pennsylvania, 23316","","","retailer","","","","","80","No","https://www.openstreetmap.org/way/1444658681","6/18/2026","Auto-collected via OpenStreetMap Overpass — Northampton, Pennsylvania"
"Courses
                Browse training","retailer","Northampton","Northampton, Pennsylvania","","","retailer","","","","","55","Yes","https://www.tacticalcoursedirectory.com/courses","6/18/2026","Auto-collected via Tactical Course Directory — Northampton, Pennsylvania"
"Thunder Mountain Shooting Range","range","Passaic","Passaic, New Jersey","","","range","","","","","80","No","https://www.openstreetmap.org/way/40720306","6/18/2026","Auto-collected via OpenStreetMap Overpass — Passaic, New Jersey"
"Reloaderz NJ","range","Passaic","1813 NJ-23, Wayne, New Jersey, 07470","","","range","","","","","80","No","https://www.openstreetmap.org/way/239369244","6/18/2026","Auto-collected via OpenStreetMap Overpass — Passaic, New Jersey"
"Range in Passaic","range","Passaic","41+75 Barbour Pond Drive, Wayne, New Jersey, 07470","","","range","","","","","80","No","https://www.openstreetmap.org/way/588524036","6/18/2026","Auto-collected via OpenStreetMap Overpass — Passaic, New Jersey"
"Gun For Hire at The Woodland Park Range","range","Passaic","1267 McBride Avenue, Woodland Park, New Jersey, 07424","","","range","","","","","80","No","https://www.openstreetmap.org/way/717426685","6/18/2026","Auto-collected via OpenStreetMap Overpass — Passaic, New Jersey"
"Thunder Mountain Shooting Range","gun club","Passaic","Passaic, New Jersey","","","gun club","","","","","80","No","https://www.openstreetmap.org/way/40720306","6/18/2026","Auto-collected via OpenStreetMap Overpass — Passaic, New Jersey"
"Reloaderz NJ","gun club","Passaic","1813 NJ-23, Wayne, New Jersey, 07470","","","gun club","","","","","80","No","https://www.openstreetmap.org/way/239369244","6/18/2026","Auto-collected via OpenStreetMap Overpass — Passaic, New Jersey"
"Gun club in Passaic","gun club","Passaic","41+75 Barbour Pond Drive, Wayne, New Jersey, 07470","","","gun club","","","","","80","No","https://www.openstreetmap.org/way/588524036","6/18/2026","Auto-collected via OpenStreetMap Overpass — Passaic, New Jersey"
"Gun For Hire at The Woodland Park Range","gun club","Passaic","1267 McBride Avenue, Woodland Park, New Jersey, 07424","","","gun club","","","","","80","No","https://www.openstreetmap.org/way/717426685","6/18/2026","Auto-collected via OpenStreetMap Overpass — Passaic, New Jersey"
"G&S Hunters","retailer","Passaic","Passaic, New Jersey","","","retailer","","","","","80","No","https://www.openstreetmap.org/way/379425948","6/18/2026","Auto-collected via OpenStreetMap Overpass — Passaic, New Jersey"
"Courses
                Browse training","retailer","Passaic","Passaic, New Jersey","","","retailer","","","","","55","Yes","https://www.tacticalcoursedirectory.com/courses","6/18/2026","Auto-collected via Tactical Course Directory — Passaic, New Jersey"
"Range in Somerset","range","Somerset","Somerset, New Jersey","","","range","","","","","80","No","https://www.openstreetmap.org/way/1484239012","6/18/2026","Auto-collected via OpenStreetMap Overpass — Somerset, New Jersey"
"Courses
                Browse training","range","Somerset","Somerset, New Jersey","","","range","","","","","55","Yes","https://www.tacticalcoursedirectory.com/courses","6/18/2026","Auto-collected via Tactical Course Directory — Somerset, New Jersey"
"Courses
                Browse training","private instructor","Somerset","Somerset, New Jersey","","","private instructor","","","","","55","Yes","https://www.tacticalcoursedirectory.com/courses","6/18/2026","Auto-collected via Tactical Course Directory — Somerset, New Jersey"
"Gun club in Somerset","gun club","Somerset","Somerset, New Jersey","","","gun club","","","","","80","No","https://www.openstreetmap.org/way/1484239012","6/18/2026","Auto-collected via OpenStreetMap Overpass — Somerset, New Jersey"
"Courses
                Browse training","gun club","Somerset","Somerset, New Jersey","","","gun club","","","","","55","Yes","https://www.tacticalcoursedirectory.com/courses","6/18/2026","Auto-collected via Tactical Course Directory — Somerset, New Jersey"
"Pine State Armory","retailer","Somerset","98 Madison Avenue, Skowhegan, New Jersey, 04976","","","retailer","","","","","80","No","https://www.openstreetmap.org/node/2834277434","6/18/2026","Auto-collected via OpenStreetMap Overpass — Somerset, New Jersey"
"Lou's Firearms","retailer","Somerset","91 West Somerset Street, Raritan, New Jersey, 08869","","","retailer","","","","","80","No","https://www.openstreetmap.org/node/5683463110","6/18/2026","Auto-collected via OpenStreetMap Overpass — Somerset, New Jersey"
"Courses
                Browse training","retailer","Somerset","Somerset, New Jersey","","","retailer","","","","","55","Yes","https://www.tacticalcoursedirectory.com/courses","6/18/2026","Auto-collected via Tactical Course Directory — Somerset, New Jersey"
"Gun club in Sussex","gun club","Sussex","Sussex, New Jersey","","","gun club","","","","","80","No","https://www.openstreetmap.org/way/967150135","6/18/2026","Auto-collected via OpenStreetMap Overpass — Sussex, New Jersey"
"Range","gun club","Sussex","Sussex, New Jersey","","","gun club","","","","","80","No","https://www.openstreetmap.org/way/1268791472","6/18/2026","Auto-collected via OpenStreetMap Overpass — Sussex, New Jersey"
"Furnishings Plus Nana's Nook","retailer","Sussex","36621 Bi State Boulevard, Delmar, New Jersey, 19940","","","retailer","","","","","80","No","https://www.openstreetmap.org/node/7228399108","6/18/2026","Auto-collected via OpenStreetMap Overpass — Sussex, New Jersey"
"Mastodon Ammo & Camo","retailer","Sussex","195 Highland Lakes Road, Highland Lakes, New Jersey, 07422","","","retailer","","","","","80","No","https://www.openstreetmap.org/node/11246320496","6/18/2026","Auto-collected via OpenStreetMap Overpass — Sussex, New Jersey"
"Gunshooter Enterprises","retailer","Sussex","240 Main Street, Millsboro, New Jersey, 19966","","","retailer","","","","","80","No","https://www.openstreetmap.org/way/469838945","6/18/2026","Auto-collected via OpenStreetMap Overpass — Sussex, New Jersey"
"Firing Distance","retailer","Sussex","7503 Federalsburg Road, Bridgeville, New Jersey, 19933","","","retailer","","","","","80","No","https://www.openstreetmap.org/way/971256601","6/18/2026","Auto-collected via OpenStreetMap Overpass — Sussex, New Jersey"
"RTSP - Range, Firearms & Training","range","Union","2438 US 22, Union, New Jersey, 07083","","","range","","","","","80","No","https://www.openstreetmap.org/node/13348015597","6/18/2026","Auto-collected via OpenStreetMap Overpass — Union, New Jersey"
"Range in Union","range","Union","Union, New Jersey","","","range","","","","","80","No","https://www.openstreetmap.org/way/360152578","6/18/2026","Auto-collected via OpenStreetMap Overpass — Union, New Jersey"
"Fairforest Rifle Range","range","Union","Union, New Jersey, 29379","","","range","","","","","80","No","https://www.openstreetmap.org/way/1125304297","6/18/2026","Auto-collected via OpenStreetMap Overpass — Union, New Jersey"
"Union County Sportsman's Club Shooting Range","range","Union","Union, New Jersey","","","range","","","","","80","No","https://www.openstreetmap.org/way/1181237360","6/18/2026","Auto-collected via OpenStreetMap Overpass — Union, New Jersey"
"Rifle Range","range","Union","Union, New Jersey","","","range","","","","","80","No","https://www.openstreetmap.org/way/1324352877","6/18/2026","Auto-collected via OpenStreetMap Overpass — Union, New Jersey"
"Shotgun Range","range","Union","Union, New Jersey","","","range","","","","","80","No","https://www.openstreetmap.org/way/1324364834","6/18/2026","Auto-collected via OpenStreetMap Overpass — Union, New Jersey"
"Courses
                Browse training","range","Union","Union, New Jersey","","","range","","","","","55","Yes","https://www.tacticalcoursedirectory.com/courses","6/18/2026","Auto-collected via Tactical Course Directory — Union, New Jersey"
"Courses
                Browse training","private instructor","Union","Union, New Jersey","","","private instructor","","","","","55","Yes","https://www.tacticalcoursedirectory.com/courses","6/18/2026","Auto-collected via Tactical Course Directory — Union, New Jersey"
"RTSP - Range, Firearms & Training","gun club","Union","2438 US 22, Union, New Jersey, 07083","","","gun club","","","","","80","No","https://www.openstreetmap.org/node/13348015597","6/18/2026","Auto-collected via OpenStreetMap Overpass — Union, New Jersey"
"Gun club in Union","gun club","Union","Union, New Jersey","","","gun club","","","","","80","No","https://www.openstreetmap.org/way/360152578","6/18/2026","Auto-collected via OpenStreetMap Overpass — Union, New Jersey"
"Fairforest Rifle Range","gun club","Union","Union, New Jersey, 29379","","","gun club","","","","","80","No","https://www.openstreetmap.org/way/1125304297","6/18/2026","Auto-collected via OpenStreetMap Overpass — Union, New Jersey"
"Union County Sportsman's Club Shooting Range","gun club","Union","Union, New Jersey","","","gun club","","","","","80","No","https://www.openstreetmap.org/way/1181237360","6/18/2026","Auto-collected via OpenStreetMap Overpass — Union, New Jersey"
"Rifle Range","gun club","Union","Union, New Jersey","","","gun club","","","","","80","No","https://www.openstreetmap.org/way/1324352877","6/18/2026","Auto-collected via OpenStreetMap Overpass — Union, New Jersey"
